feature,importance
cat__Neighbourhood_ILHAS OCEÂNICAS DE TRINDADE,1.0231437015615403
cat__Neighbourhood_AEROPORTO,0.5803454312862102
cat__Neighbourhood_SANTOS DUMONT,0.5131159738022325
cat__Neighbourhood_SOLON BORGES,0.3910944206369819
cat__Neighbourhood_SANTA CLARA,0.3802700371705067
num__SMS_received,0.3746927449497013
cat__Neighbourhood_DE LOURDES,0.3679777371158645
cat__Neighbourhood_PARQUE MOSCOSO,0.349383605358826
cat__Neighbourhood_JABOUR,0.3207075304039346
cat__Neighbourhood_ITARARÉ,0.3181982334700306
